지역,졸업자,진학자,일반고,특성화고,특목고,자율고,기타,취업자,무직자및미상,특목고비율,사교육비
서울특별시,75301,75150,48352,12663,3267,10383,485,2,149,0.0433858780095881,41.5
부산광역시,26926,26835,17566,5734,2101,1110,324,3,88,0.0780286711728441,31.6
대구광역시,22753,22644,13993,4135,1224,3176,116,1,108,0.0537951039423372,33.2
인천광역시,25956,25868,17718,5704,1288,711,447,0,88,0.0496224379719525,30.0
광주광역시,16074,16039,12143,2768,612,403,113,2,33,0.038073908174692,31.0
대전광역시,14890,14834,9526,2281,872,2027,128,0,56,0.0585627938213566,29.3
울산광역시,10817,10790,7668,2009,764,310,39,0,27,0.0706295645742812,29.1
세종특별자치시,2698,2691,2171,162,165,182,11,0,7,0.0611564121571534,33.4
경기도,119859,119507,91774,19425,4440,3406,462,4,348,0.0370435261432182,33.2
강원도,14068,14020,10642,2682,541,70,85,0,48,0.0384560705146431,25.5
충청북도,14618,14573,9376,3908,744,445,100,2,43,0.0508961554248187,29.1
충청남도,19019,18953,13751,3514,752,843,93,1,65,0.0395394079604605,20.2
전라북도,18116,18063,13330,3163,872,608,90,1,52,0.0481342459704128,24.5
전라남도,16805,16751,11293,4130,729,547,52,3,51,0.0433799464445105,22.0
경상북도,22227,22158,15742,3873,1195,1291,57,1,68,0.053763440860215,26.4
경상남도,31199,31126,23536,4321,1266,1551,452,1,72,0.0405782236610147,22.6
제주특별자치도,6445,6405,4655,1422,270,18,40,0,40,0.0418929402637703,28.2
서울특별시,75601,75438,50086,12082,3182,9556,532,1,162,0.0420893903519794,46.3
부산광역시,27190,27083,17724,5769,1998,1224,368,0,107,0.0734828981243104,32.5
대구광역시,23608,23457,14389,4321,1284,3354,109,0,151,0.0543883429345984,34.2
인천광역시,26693,26622,18446,5425,1323,1129,299,0,71,0.0495635559884613,33.4
광주광역시,16339,16311,12426,2731,604,439,111,0,28,0.0369667666319848,31.9
대전광역시,14897,14861,9680,2096,828,2192,65,0,36,0.0555816607370611,31.7
울산광역시,11159,11138,8327,1707,772,281,51,0,21,0.069181826328524,30.3
세종특별자치시,3333,3324,2857,133,218,86,30,0,9,0.0654065406540654,40.2
경기도,123587,123072,96379,18586,4421,3217,469,0,515,0.0357723708804324,35.7
강원도,13694,13641,10402,2539,542,76,82,3,50,0.0395793778297064,20.9
충청북도,14452,14395,9297,3704,744,548,102,1,56,0.0514807639081096,25.9
충청남도,19434,19357,14047,3685,779,765,81,0,77,0.040084388185654,28.1
전라북도,17796,17758,13427,2826,909,526,70,0,38,0.0510788941335131,27.6
전라남도,16513,16475,11330,3881,745,469,50,0,38,0.0451159692363592,22.6
경상북도,22210,22139,15939,3827,1149,1164,60,2,69,0.0517334533993696,25.7
경상남도,31513,31408,24110,4117,1287,1424,470,9,96,0.0408402881350553,28.9
제주특별자치도,6698,6651,5217,1201,208,8,17,0,47,0.0310540459838757,29.8
서울특별시,72254,72105,48305,10865,3167,9215,553,0,149,0.0438314833780828,49.2
부산광역시,25351,25251,16838,5321,1956,922,214,0,100,0.0771567196560293,34.0
대구광역시,21707,21546,13538,4088,1251,2560,109,0,161,0.0576311788823881,34.4
인천광역시,25495,25412,17853,5084,1285,1078,112,0,83,0.0504020396156109,32.9
광주광역시,15014,14992,11581,2379,521,436,75,0,22,0.034700945783935,33.2
대전광역시,14269,14209,9716,1883,840,1699,71,2,58,0.0588688765856051,34.9
울산광역시,10556,10519,7682,1684,765,361,27,0,37,0.0724706328154604,31.0
세종특별자치시,3614,3607,2873,268,220,227,19,0,7,0.06087437742114,37.2
경기도,120268,119878,95466,17152,4210,2602,448,6,384,0.0350051551534905,35.7
강원도,13126,13069,10280,2120,544,55,70,3,54,0.0414444613743714,23.3
충청북도,14169,14094,9173,3450,735,663,73,2,73,0.0518738090196908,25.7
충청남도,19069,19005,13739,3627,778,796,65,1,63,0.0407992028947506,21.1
전라북도,16924,16897,13421,2388,933,107,48,0,27,0.0551288111557551,26.3
전라남도,15824,15786,10670,3778,795,494,49,2,36,0.0502401415571284,23.0
경상북도,21077,21022,15319,3347,1170,1100,86,3,52,0.0555107463111448,27.2
경상남도,30503,30404,23462,3733,1303,1537,369,1,98,0.0427171097924794,28.1
제주특별자치도,6306,6246,4934,1114,172,6,20,0,60,0.0272756105296543,28.9
서울특별시,65516,65381,45929,9110,3019,6958,365,0,135,0.046080346785518,52.6
부산광역시,23317,23228,15523,4930,1897,673,205,0,89,0.0813569498649054,42.1
대구광역시,20155,20079,13653,3675,1262,1385,104,0,76,0.0626147357975688,42.2
인천광역시,23810,23745,17231,4420,1201,739,154,0,65,0.0504409911801764,38.9
광주광역시,13672,13648,10494,2218,482,402,52,0,24,0.0352545348156816,37.4
대전광역시,12850,12806,8488,1715,741,1783,79,0,44,0.0576653696498054,35.3
울산광역시,9839,9810,7309,1573,759,136,33,0,29,0.0771419859741843,34.0
세종특별자치시,3666,3657,3069,258,211,101,18,0,9,0.0575559192580469,40.6
경기도,111865,111591,89290,15844,4062,2084,311,1,273,0.0363116256201671,42.2
강원도,12288,12248,9686,1943,520,40,59,0,40,0.0423177083333333,28.9
충청북도,13081,13035,8319,3213,688,719,96,0,46,0.0525953673266569,28.7
충청남도,17929,17865,13171,3354,702,586,52,1,63,0.0391544425232862,29.2
전라북도,15751,15722,12445,2260,853,113,51,0,29,0.0541552917275093,30.0
전라남도,14510,14466,10069,3346,712,283,56,0,44,0.0490696071674707,25.6
경상북도,19869,19831,14568,2912,1106,1191,54,1,37,0.0556646031506366,31.6
경상남도,28331,28283,21966,3460,1268,1285,304,0,48,0.0447566270163425,29.8
제주특별자치도,6113,6076,4633,1222,182,7,32,0,37,0.029772615736954,34.2
서울특별시,67240,67097,49426,7983,2839,6371,478,1,142,0.0422218917311124,60.5
부산광역시,23660,23587,16152,4862,1940,419,214,1,72,0.0819949281487743,45.0
대구광역시,19986,19884,14062,3497,1222,939,164,0,102,0.0611427999599719,46.9
인천광역시,24646,24582,18817,3883,1203,539,140,2,62,0.048811166112148,39.7
광주광역시,14146,14118,11219,2126,500,228,45,0,28,0.0353456807578113,41.4
대전광역시,13200,13168,8790,1619,751,1938,70,0,32,0.0568939393939393,41.1
울산광역시,10208,10170,7761,1553,667,147,42,0,38,0.065340909090909,39.3
세종특별자치시,4223,4216,3558,224,221,192,21,0,7,0.0523324650722235,45.8
경기도,119197,118800,97957,15215,3836,1380,412,4,393,0.0321820180038088,47.3
강원도,12069,12024,9637,1792,500,32,63,1,44,0.0414284530615626,30.7
충청북도,13371,13304,8767,3158,674,639,66,0,67,0.050407598534141,35.0
충청남도,18812,18777,14149,3122,748,686,72,2,33,0.039761854135658,33.6
전라북도,15673,15633,12571,2144,770,86,62,0,40,0.049129075480125,30.3
전라남도,14937,14898,10479,3316,689,357,57,0,39,0.0461270670147954,30.8
경상북도,20140,20094,14612,3141,1113,1174,54,0,46,0.0552631578947368,32.4
경상남도,29440,29369,23356,3600,1173,891,349,0,71,0.03984375,35.4
제주특별자치도,6392,6357,5000,1107,193,10,47,0,35,0.0301939924906132,36.4
